# PC실 예약 시스템 목데이터 (CSV 형식)

## 1. reservations 테이블 데이터
id,pc_number,date,slot_hour,name,student_id,phone,department,applied_at,created_at,updated_at
uuid-1,1,2024-09-12,18,김철수,2024123456,010-1234-5678,경제학과,2024-09-10 09:30:00,2024-09-12 17:30:00,2024-09-12 17:30:00
uuid-2,2,2024-09-12,18,이영희,2024234567,010-2345-6789,경영학과,2024-09-11 14:15:00,2024-09-12 17:31:00,2024-09-12 17:31:00
uuid-3,3,2024-09-12,19,박민수,2024345678,010-3456-7890,경제학과,2024-09-09 11:45:00,2024-09-12 17:32:00,2024-09-12 17:32:00
uuid-4,4,2024-09-12,19,최지영,2024456789,010-4567-8901,통계학과,2024-09-11 16:20:00,2024-09-12 17:33:00,2024-09-12 17:33:00
uuid-5,5,2024-09-12,20,정현우,2024567890,010-5678-9012,경제학과,2024-09-10 13:10:00,2024-09-12 17:34:00,2024-09-12 17:34:00
uuid-6,10,2024-09-13,18,한소영,2024678901,010-6789-0123,경영학과,2024-09-12 17:35:00,2024-09-12 17:35:00
uuid-7,15,2024-09-13,18,윤태호,2024789012,010-7890-1234,경제학과,2024-09-12 17:36:00,2024-09-12 17:36:00
uuid-8,20,2024-09-13,19,강미래,2024890123,010-8901-2345,통계학과,2024-09-12 17:37:00,2024-09-12 17:37:00
uuid-9,25,2024-09-13,19,임동현,2024901234,010-9012-3456,경제학과,2024-09-12 17:38:00,2024-09-12 17:38:00
uuid-10,30,2024-09-13,20,서유진,2024012345,010-0123-4567,경영학과,2024-09-12 17:39:00,2024-09-12 17:39:00
uuid-11,35,2024-09-14,18,조성민,2024123456,010-1234-5679,경제학과,2024-09-12 17:40:00,2024-09-12 17:40:00
uuid-12,40,2024-09-14,18,노하은,2024234567,010-2345-6780,통계학과,2024-09-12 17:41:00,2024-09-12 17:41:00
uuid-13,45,2024-09-14,19,배준호,2024345678,010-3456-7891,경영학과,2024-09-12 17:42:00,2024-09-12 17:42:00
uuid-14,50,2024-09-14,19,신예린,2024456789,010-4567-8902,경제학과,2024-09-12 17:43:00,2024-09-12 17:43:00
uuid-15,55,2024-09-14,20,오준석,2024567890,010-5678-9013,경제학과,2024-09-12 17:44:00,2024-09-12 17:44:00
uuid-16,8,2024-09-15,18,김다은,2024678901,010-6789-0124,경영학과,2024-09-12 17:45:00,2024-09-12 17:45:00
uuid-17,12,2024-09-15,18,이준혁,2024789012,010-7890-1235,경제학과,2024-09-12 17:46:00,2024-09-12 17:46:00
uuid-18,18,2024-09-15,19,박서연,2024890123,010-8901-2346,통계학과,2024-09-12 17:47:00,2024-09-12 17:47:00
uuid-19,22,2024-09-15,19,최민재,2024901234,010-9012-3457,경제학과,2024-09-12 17:48:00,2024-09-12 17:48:00
uuid-20,28,2024-09-15,20,정수빈,2024012345,010-0123-4568,경영학과,2024-09-12 17:49:00,2024-09-12 17:49:00
uuid-21,33,2024-09-19,18,한지훈,2024123456,010-1234-5680,경제학과,2024-09-12 17:50:00,2024-09-12 17:50:00
uuid-22,37,2024-09-19,18,윤서아,2024234567,010-2345-6781,통계학과,2024-09-12 17:51:00,2024-09-12 17:51:00
uuid-23,42,2024-09-19,19,강도현,2024345678,010-3456-7892,경영학과,2024-09-12 17:52:00,2024-09-12 17:52:00
uuid-24,47,2024-09-19,19,임채원,2024456789,010-4567-8903,경제학과,2024-09-12 17:53:00,2024-09-12 17:53:00
uuid-25,52,2024-09-19,20,서현수,2024567890,010-5678-9014,경제학과,2024-09-12 17:54:00,2024-09-12 17:54:00
uuid-26,6,2024-09-11,18,김민지,2024678901,010-6789-0125,경제학과,2024-09-11 17:30:00,2024-09-11 17:30:00
uuid-27,14,2024-09-11,19,이성호,2024789012,010-7890-1236,경영학과,2024-09-11 17:31:00,2024-09-11 17:31:00
uuid-28,21,2024-09-11,20,박지은,2024890123,010-8901-2347,통계학과,2024-09-11 17:32:00,2024-09-11 17:32:00
uuid-29,9,2024-09-10,18,최우진,2024901234,010-9012-3458,경제학과,2024-09-10 17:30:00,2024-09-10 17:30:00
uuid-30,16,2024-09-10,19,정하늘,2024012345,010-0123-4569,경영학과,2024-09-10 17:31:00,2024-09-10 17:31:00
uuid-31,24,2024-09-10,20,한승우,2024123456,010-1234-5690,경제학과,2024-09-10 17:32:00,2024-09-10 17:32:00
uuid-32,11,2024-09-09,18,윤지현,2024234567,010-2345-6791,통계학과,2024-09-09 17:30:00,2024-09-09 17:30:00
uuid-33,19,2024-09-09,19,강민규,2024345678,010-3456-7802,경제학과,2024-09-09 17:31:00,2024-09-09 17:31:00
uuid-34,26,2024-09-09,20,임소영,2024456789,010-4567-8913,경영학과,2024-09-09 17:32:00,2024-09-09 17:32:00
uuid-35,13,2024-09-08,18,서준영,2024567890,010-5678-9024,경제학과,2024-09-08 17:30:00,2024-09-08 17:30:00
uuid-36,17,2024-09-08,19,조예나,2024678901,010-6789-0135,통계학과,2024-09-08 17:31:00,2024-09-08 17:31:00
uuid-37,23,2024-09-08,20,노현석,2024789012,010-7890-1246,경제학과,2024-09-08 17:32:00,2024-09-08 17:32:00
uuid-38,7,2024-09-07,18,배지윤,2024890123,010-8901-2357,경영학과,2024-09-07 17:30:00,2024-09-07 17:30:00
uuid-39,29,2024-09-07,19,신민아,2024901234,010-9012-3468,경제학과,2024-09-07 17:31:00,2024-09-07 17:31:00
uuid-40,31,2024-09-07,20,오태준,2024012345,010-0123-4579,통계학과,2024-09-07 17:32:00,2024-09-07 17:32:00
uuid-41,4,2024-09-06,18,김하늘,2024123456,010-1234-5691,경제학과,2024-09-06 17:30:00,2024-09-06 17:30:00
uuid-42,38,2024-09-06,19,이준서,2024234567,010-2345-6702,경영학과,2024-09-06 17:31:00,2024-09-06 17:31:00
uuid-43,44,2024-09-06,20,박서윤,2024345678,010-3456-7813,경제학과,2024-09-06 17:32:00,2024-09-06 17:32:00
uuid-44,2,2024-09-05,18,최민호,2024456789,010-4567-8924,통계학과,2024-09-05 17:30:00,2024-09-05 17:30:00
uuid-45,36,2024-09-05,19,정유진,2024567890,010-5678-9035,경제학과,2024-09-05 17:31:00,2024-09-05 17:31:00
uuid-46,48,2024-09-05,20,한지원,2024678901,010-6789-0146,경영학과,2024-09-05 17:32:00,2024-09-05 17:32:00
uuid-47,15,2024-09-16,18,김태현,2024789012,010-7890-1257,경제학과,2024-09-12 18:00:00,2024-09-12 18:00:00
uuid-48,25,2024-09-16,19,이수진,2024890123,010-8901-2368,통계학과,2024-09-12 18:01:00,2024-09-12 18:01:00
uuid-49,35,2024-09-16,20,박준호,2024901234,010-9012-3479,경영학과,2024-09-12 18:02:00,2024-09-12 18:02:00
uuid-50,45,2024-09-17,18,최예린,2024012345,010-0123-4580,경제학과,2024-09-12 18:03:00,2024-09-12 18:03:00

## 2. admin_settings 테이블 데이터
id,admin_pin,notice,webhook_url,blocked_weekdays,blocked_slots,updated_at
uuid-admin-1,0423,PC실 예약 시스템입니다. 예약 시 정확한 정보를 입력해주세요.,https://hooks.slack.com/services/YOUR/SLACK/WEBHOOK,"{0,6}","{18}",2024-09-12 17:00:00
